,Breed,Breed2,MixedBreed,isCat,Color,ColorPattern,Color2,ColorPattern2,AgeuponOutcome,OutcomeType,SexuponOutcome,Name
1076,german shepherd,labrador retriever,False,0,Black,Brindle,White,,365.0,Adoption,Spayed Female,True
1077,pug,,True,0,Fawn,,,,1460.0,Transfer,Neutered Male,True
1078,chihuahua shorthair,,True,0,Brown,,Tan,,60.0,Adoption,Neutered Male,True
1079,domestic shorthair,,True,1,Brown,Tabby,White,,60.0,Adoption,Neutered Male,False
1080,labrador retriever,,True,0,Tan,,White,,90.0,Adoption,Spayed Female,False
1081,dachshund,,True,0,Black,,,,2.0,Transfer,Unknown,False
1082,domestic shorthair,,True,1,Orange,Tabby,,,90.0,Adoption,Neutered Male,True
1083,domestic longhair,,True,1,Torbie,,,,730.0,Return_to_owner,Intact Female,False
1084,domestic shorthair,,True,1,Tortie,,,,90.0,Transfer,Spayed Female,True
1085,pit bull,,True,0,Blue,,White,,1095.0,Transfer,Spayed Female,True
1086,domestic medium hair,,True,1,Black,,,,365.0,Adoption,Neutered Male,True
1087,cardigan welsh corgi,chihuahua shorthair,False,0,Tan,,,,730.0,Transfer,Intact Male,False
1088,maltese,,True,0,White,,,,1825.0,Adoption,Spayed Female,True
1089,german shepherd,,True,0,Black,,Tan,,2920.0,Adoption,Spayed Female,True
1090,pit bull,,True,0,Blue,,White,,730.0,Transfer,Neutered Male,True
1091,siamese,,True,1,Seal,Point,,,1825.0,Transfer,Neutered Male,True
1092,domestic shorthair,,True,1,Black,,,,150.0,Adoption,Neutered Male,True
1093,domestic shorthair,,True,1,Brown,Tabby,,,28.0,Euthanasia,Unknown,False
1094,domestic shorthair,,True,1,Brown,Tabby,,,60.0,Adoption,Spayed Female,True
1095,domestic shorthair,,True,1,Torbie,,,,90.0,Adoption,Spayed Female,True
1096,domestic medium hair,,True,1,Black,,White,,60.0,Transfer,Unknown,False
1097,domestic shorthair,,True,1,Brown,Tabby,,,90.0,Adoption,Neutered Male,True
1098,chihuahua shorthair,,True,0,Tan,,,,365.0,Return_to_owner,Neutered Male,True
1099,chihuahua shorthair,,True,0,Brown,,White,,730.0,Adoption,Spayed Female,True
1100,labrador retriever,,True,0,Black,,,,2555.0,Return_to_owner,Neutered Male,True
1101,domestic shorthair,,True,1,Brown,Tabby,,,21.0,Transfer,Intact Male,False
1102,dachshund,,True,0,Brown,,,,730.0,Return_to_owner,Spayed Female,True
1103,chihuahua shorthair,,True,0,Red,,White,,365.0,Adoption,Spayed Female,True
1104,german shepherd,,False,0,Sable,,,,2555.0,Transfer,Intact Male,True
1105,manx,,True,1,Brown,Tabby,White,,60.0,Adoption,Spayed Female,True
1106,labrador retriever,,True,0,Tan,,,,270.0,Adoption,Spayed Female,True
1107,australian cattle dog,,True,0,Black,,Brown,,365.0,Return_to_owner,Neutered Male,True
1108,labrador retriever,,False,0,Buff,,,,2190.0,Return_to_owner,Neutered Male,True
1109,beauceron,,True,0,Black,,Tan,,730.0,Adoption,Neutered Male,True
1110,domestic medium hair,,True,1,Black,,,,2920.0,Adoption,Neutered Male,True
1111,domestic shorthair,,False,1,Black,,White,,28.0,Transfer,Intact Male,False
1112,labrador retriever,,True,0,Black,,White,,365.0,Transfer,Neutered Male,True
1113,domestic medium hair,,True,1,Blue,Tabby,,,21.0,Transfer,Intact Male,False
1114,pit bull,,True,0,White,,Brown,,2555.0,Return_to_owner,Spayed Female,True
1115,chihuahua shorthair,,True,0,White,,,,365.0,Adoption,Neutered Male,True
1116,domestic shorthair,,True,1,Orange,Tabby,White,,365.0,Adoption,Neutered Male,True
1117,domestic shorthair,,True,1,Black,,,,90.0,Adoption,Neutered Male,True
1118,beagle,labrador retriever,False,0,Brown,,White,,730.0,Adoption,Spayed Female,True
1119,american pit bull terrier,chinese sharpei,False,0,Fawn,,White,,120.0,Return_to_owner,Intact Female,True
1120,domestic longhair,,True,1,Blue,,,,365.0,Transfer,Intact Male,False
1121,domestic shorthair,,True,1,Blue,Tabby,,,60.0,Adoption,Spayed Female,True
1122,pit bull,,True,0,Tricolor,,,,120.0,Transfer,Spayed Female,False
1123,chihuahua shorthair,,True,0,Tan,,,,730.0,Return_to_owner,Spayed Female,True
1124,domestic shorthair,,True,1,Black,,,,90.0,Adoption,Neutered Male,True
1125,dachshund,,True,0,Red,Merle,White,,1460.0,Return_to_owner,Spayed Female,True
1126,domestic shorthair,,True,1,Orange,Tabby,,,21.0,Transfer,Unknown,False
1127,pekingese,,False,0,White,,,,5840.0,Return_to_owner,Spayed Female,True
1128,dachshund,,True,0,Brown,,,,120.0,Transfer,Spayed Female,False
1129,domestic shorthair,,True,1,White,,Orange,Tabby,28.0,Euthanasia,Intact Male,True
1130,chihuahua shorthair,dachshund,False,0,Tan,,White,,90.0,Adoption,Neutered Male,False
1131,cardigan welsh corgi,,True,0,Black,,White,,730.0,Euthanasia,Intact Male,False
1132,chihuahua shorthair,,True,0,White,,Tan,,2190.0,Transfer,Intact Female,True
1133,rottweiler,rhod ridgeback,False,0,Brown,,White,,4015.0,Adoption,Neutered Male,True
1134,domestic shorthair,,True,1,Tortie,,,,180.0,Transfer,Spayed Female,False
1135,australian shepherd,,True,0,Black,,Tricolor,,730.0,Adoption,Spayed Female,True
1136,dachshund,,True,0,White,,Brown,,3285.0,Return_to_owner,Spayed Female,True
1137,siamese,,True,1,Seal,Point,,,730.0,Transfer,Intact Male,False
1138,doberman pinsch,,False,0,Black,,Brown,,1095.0,Adoption,Spayed Female,True
1139,pekingese,,True,0,Tan,,White,,730.0,Adoption,Neutered Male,True
1140,domestic shorthair,,True,1,Black,Tabby,,,3.0,Transfer,Intact Female,False
1141,chihuahua shorthair,,True,0,White,,,,730.0,Return_to_owner,Neutered Male,True
1142,old english bulldog,,True,0,White,,Brown,Brindle,1095.0,Adoption,Neutered Male,True
1143,domestic shorthair,,True,1,White,,Brown,Tabby,90.0,Adoption,Spayed Female,True
1144,domestic shorthair,,True,1,Brown,Tabby,,,365.0,Adoption,Neutered Male,True
1145,ibizan hound,,True,0,Tan,,White,,730.0,Adoption,Spayed Female,True
1146,beagle,,True,0,Tan,,White,,1095.0,Return_to_owner,Spayed Female,True
1147,yorkshire terrier,,True,0,Black,,Brown,,1095.0,Adoption,Spayed Female,True
1148,domestic shorthair,,True,1,Orange,Tabby,,,7.0,Transfer,Intact Male,False
1149,boston terrier,,True,0,Black,Brindle,White,,730.0,Adoption,Spayed Female,True
1150,domestic shorthair,,True,1,Blue,,,,21.0,Transfer,Intact Female,False
1151,chihuahua shorthair,,True,0,Black,,White,,60.0,Return_to_owner,Neutered Male,False
1152,domestic longhair,,True,1,Calico,,,,6.0,Died,Intact Female,True
1153,domestic shorthair,,False,1,Black,,,,365.0,Adoption,Neutered Male,True
1154,domestic shorthair,,True,1,Orange,Tabby,White,,60.0,Adoption,Neutered Male,False
1155,domestic longhair,,True,1,Orange,Tabby,White,,2190.0,Transfer,Neutered Male,True
1156,siamese,,True,1,Lynx,Point,,,365.0,Adoption,Spayed Female,True
1157,labrador retriever,,True,0,Tricolor,,,,1460.0,Return_to_owner,Neutered Male,True
1158,domestic shorthair,,True,1,Brown,Tabby,,,60.0,Transfer,Intact Female,True
1159,dachshund,whippet,False,0,Red,,White,,180.0,Adoption,Spayed Female,True
1160,domestic shorthair,,True,1,Brown,Tabby,White,,60.0,Adoption,Spayed Female,False
1161,pit bull,,True,0,Red,,,,730.0,Return_to_owner,Spayed Female,True
1162,rat terrier,,True,0,Tan,,White,,730.0,Return_to_owner,Neutered Male,True
1163,domestic shorthair,,True,1,Blue,Tabby,,,30.0,Adoption,Intact Female,True
1164,cairn terrier,,True,0,Brown,Brindle,White,,730.0,Adoption,Neutered Male,True
1165,rottweiler,,True,0,Black,,Tan,,120.0,Adoption,Neutered Male,True
1166,labrador retriever,,True,0,Red,,White,,1095.0,Adoption,Spayed Female,True
1167,german shepherd,,True,0,Brown,,Black,,2190.0,Adoption,Neutered Male,True
1168,domestic shorthair,,False,1,Black,Tabby,,,60.0,Transfer,Intact Male,True
1169,miniature poodle,,True,0,White,,,,730.0,Adoption,Spayed Female,True
1170,american staffordshire terrier,,True,0,Blue,,White,,365.0,Euthanasia,Spayed Female,True
1171,domestic shorthair,,True,1,Brown,Tabby,,,1095.0,Transfer,Intact Female,False
1172,labrador retriever,border collie,False,0,Black,,White,,365.0,Transfer,Spayed Female,True
1173,chihuahua shorthair,whippet,False,0,Brown,Brindle,,,365.0,Adoption,Neutered Male,True
1174,german shepherd,,True,0,Sable,,,,730.0,Return_to_owner,Spayed Female,True
1175,boxer,beagle,False,0,White,,Brown,,730.0,Adoption,Neutered Male,True
1176,brittany,labrador retriever,False,0,Red,,,,120.0,Adoption,Spayed Female,True
1177,black mouth cur,australian cattle dog,False,0,Tan,,,,730.0,Adoption,Spayed Female,True
1178,labrador retriever,anatol shepherd,False,0,White,,Tricolor,,300.0,Adoption,Spayed Female,True
1179,domestic shorthair,,True,1,Orange,Tabby,White,,60.0,Adoption,Neutered Male,True
1180,newfoundland,australian cattle dog,False,0,Black,,White,,60.0,Adoption,Neutered Male,True
1181,boxer,,True,0,Brown,Brindle,,,240.0,Adoption,Spayed Female,True
1182,domestic shorthair,,True,1,Calico,,,,1095.0,Return_to_owner,Spayed Female,True
1183,domestic medium hair,,True,1,Orange,Tabby,,,21.0,Transfer,Intact Male,False
1184,parson russell terrier,,True,0,White,,Brown,,4015.0,Transfer,Neutered Male,True
1185,bull terrier,,False,0,White,,,,730.0,Transfer,Neutered Male,False
1186,american bulldog,,True,0,Black,,White,,730.0,Transfer,Neutered Male,True
1187,domestic medium hair,,False,1,Brown,Tabby,,,120.0,Adoption,Spayed Female,True
1188,chihuahua shorthair,dachshund,False,0,Tricolor,,,,300.0,Transfer,Neutered Male,False
1189,cardigan welsh corgi,chihuahua shorthair,False,0,Brown,,White,,1095.0,Adoption,Neutered Male,True
1190,domestic shorthair,,True,1,Brown,Tabby,White,,180.0,Transfer,Intact Male,False
1191,miniature pinscher,,True,0,Black,,Tan,,365.0,Transfer,Intact Male,True
1192,domestic shorthair,,True,1,Brown,Tabby,,,28.0,Transfer,Intact Female,False
1193,shih tzu,,True,0,Black,,,,2555.0,Return_to_owner,Neutered Male,True
1194,domestic medium hair,,True,1,Brown,Tabby,,,730.0,Euthanasia,Intact Male,False
1195,black mouth cur,,True,0,Brown,,Black,,330.0,Adoption,Neutered Male,True
1196,pit bull,,True,0,Blue,,White,,730.0,Adoption,Spayed Female,True
1197,domestic shorthair,,True,1,Orange,Tabby,,,365.0,Adoption,Neutered Male,False
1198,rhod ridgeback,,True,0,Tan,,,,365.0,Adoption,Neutered Male,True
1199,miniature schnauzer,,True,0,Black,,,,730.0,Adoption,Neutered Male,False
1200,pit bull,,True,0,Fawn,,White,,1460.0,Adoption,Spayed Female,True
1201,english bulldog,,False,0,Blue,,White,,730.0,Return_to_owner,Intact Male,True
1202,domestic shorthair,,True,1,Brown,Tabby,,,30.0,Adoption,Spayed Female,False
1203,domestic shorthair,,True,1,Orange,Tabby,,,14.0,Transfer,Intact Male,False
1204,domestic shorthair,,True,1,Blue,,,,60.0,Adoption,Neutered Male,True
1205,domestic shorthair,,True,1,White,,Brown,Tabby,3650.0,Return_to_owner,Spayed Female,True
1206,chihuahua shorthair,,True,0,Chocolate,,Tan,,1095.0,Return_to_owner,Neutered Male,True
1207,domestic shorthair,,True,1,White,,Orange,Tabby,120.0,Transfer,Intact Female,False
1208,domestic shorthair,,True,1,Cream,Tabby,,,30.0,Transfer,Intact Male,True
1209,domestic shorthair,,True,1,Brown,Tabby,,,60.0,Euthanasia,Intact Male,False
1210,siberian husky,,True,0,White,,,,730.0,Return_to_owner,Intact Male,True
1211,bernese mountain dog,,True,0,Black,,Tan,,90.0,Adoption,Neutered Male,False
1212,miniature poodle,,True,0,Black,,,,1095.0,Transfer,Neutered Male,True
1213,domestic shorthair,,True,1,Brown,Tabby,,,60.0,Transfer,Spayed Female,True
1214,pit bull,,False,0,White,,,,150.0,Adoption,Neutered Male,True
1215,domestic shorthair,,True,1,Calico,,,,1825.0,Adoption,Spayed Female,True
1216,miniature schnauzer,,True,0,Silver,,,,1460.0,Return_to_owner,Spayed Female,False
1217,domestic shorthair,,True,1,Black,,,,2555.0,Return_to_owner,Spayed Female,True
1218,domestic shorthair,,True,1,Black,,White,,3285.0,Euthanasia,Intact Female,False
1219,domestic shorthair,,True,1,White,,Black,,180.0,Transfer,Intact Female,False
1220,domestic shorthair,,True,1,Black,,,,365.0,Adoption,Neutered Male,True
1221,yorkshire terrier,,True,0,Brown,,,,730.0,Transfer,Neutered Male,False
1222,domestic shorthair,,True,1,Orange,Tabby,,,180.0,Adoption,Neutered Male,True
1223,domestic shorthair,,True,1,Orange,Tabby,,,30.0,Transfer,Intact Male,True
1224,australian shepherd,,True,0,Tricolor,,White,,730.0,Adoption,Neutered Male,False
1225,domestic shorthair,,True,1,Black,,,,60.0,Adoption,Spayed Female,True
1226,domestic shorthair,,True,1,Orange,Tabby,,,300.0,Transfer,Neutered Male,False
1227,pit bull,,True,0,White,,Black,,1.0,Return_to_owner,Intact Male,False
1228,domestic shorthair,,True,1,Calico,,,,730.0,Euthanasia,Intact Female,False
1229,chihuahua shorthair,,True,0,Brown,,White,,1460.0,Adoption,Spayed Female,True
1230,domestic shorthair,,True,1,Black,,,,2555.0,Adoption,Neutered Male,True
1231,maine coon,,True,1,Brown,Tabby,,,2555.0,Transfer,Spayed Female,True
1232,domestic shorthair,,True,1,Orange,Tabby,White,,60.0,Adoption,Spayed Female,True
1233,chihuahua shorthair,,True,0,Tan,,White,,60.0,Adoption,Spayed Female,True
1234,domestic shorthair,,True,1,Blue,Tabby,,,21.0,Transfer,Intact Male,False
1235,dachshund,,False,0,Black,,Brown,,1460.0,Return_to_owner,Neutered Male,True
1236,domestic shorthair,,True,1,Brown,Tabby,White,,14.0,Transfer,Unknown,False
1237,labrador retriever,labrador retriever,False,0,White,,,,60.0,Adoption,Neutered Male,True
1238,domestic shorthair,,True,1,Black,,White,,14.0,Transfer,Intact Male,False
1239,chihuahua shorthair,,True,0,Tricolor,,,,730.0,Adoption,Neutered Male,True
1240,pit bull,,True,0,White,,Black,,365.0,Adoption,Spayed Female,True
1241,dachshund,shih tzu,False,0,Tan,,,,60.0,Transfer,Intact Male,True
1242,pit bull,,True,0,Black,Brindle,White,,730.0,Adoption,Spayed Female,True
1243,australian shepherd,,True,0,Chocolate,,White,,1460.0,Adoption,Spayed Female,True
1244,parson russell terrier,chihuahua shorthair,False,0,White,,Brown,,1095.0,Return_to_owner,Neutered Male,True
1245,chihuahua shorthair,,True,0,White,,Tan,,2920.0,Return_to_owner,Intact Male,True
1246,pug,,True,0,Black,,,,730.0,Return_to_owner,Neutered Male,True
1247,chow chow,australian cattle dog,False,0,Tan,,Black,,2555.0,Return_to_owner,Neutered Male,True
1248,pit bull,,True,0,Brown,,White,,730.0,Adoption,Neutered Male,True
1249,pit bull,mastiff,False,0,Red,,White,,240.0,Return_to_owner,Neutered Male,True
1250,domestic medium hair,,True,1,Black,,White,,365.0,Transfer,Spayed Female,False
1251,newfoundland,,True,0,Black,,,,4745.0,Return_to_owner,Neutered Male,True
1252,domestic shorthair,,True,1,White,,,,21.0,Transfer,Intact Male,False
1253,domestic medium hair,,True,1,Orange,Tabby,,,2190.0,Adoption,Neutered Male,True
1254,domestic shorthair,,True,1,Brown,Tabby,White,,90.0,Adoption,Spayed Female,True
1255,american pit bull terrier,,False,0,Chocolate,,White,,730.0,Transfer,Spayed Female,True
1256,chihuahua shorthair,,True,0,Red,,White,,1825.0,Return_to_owner,Spayed Female,True
1257,chihuahua shorthair,,True,0,White,,Tan,,730.0,Adoption,Neutered Male,True
1258,american bulldog,,True,0,Blue,,White,,365.0,Euthanasia,Neutered Male,True
1259,domestic shorthair,,True,1,Calico,,,,2920.0,Adoption,Spayed Female,True
1260,pit bull,,True,0,Tan,,White,,1095.0,Adoption,Neutered Male,True
1261,pit bull,,True,0,White,,Brown,,365.0,Return_to_owner,Intact Male,True
1262,domestic longhair,,True,1,Tortie,,,,2555.0,Return_to_owner,Intact Female,True
1263,cocker spaniel,,True,0,White,,Tan,,60.0,Transfer,Spayed Female,False
1264,miniature schnauzer,,False,0,Black,,,,730.0,Transfer,Intact Female,True
1265,domestic shorthair,,True,1,Blue,Tabby,,,730.0,Transfer,Intact Male,False
1266,chihuahua shorthair,,True,0,White,,,,1095.0,Euthanasia,Neutered Male,True
1267,domestic longhair,,True,1,Black,,White,,120.0,Adoption,Spayed Female,True
1268,domestic shorthair,,True,1,Black,,White,,1825.0,Transfer,Spayed Female,True
1269,catahoula,,True,0,Chocolate,,White,,300.0,Transfer,Neutered Male,True
1270,chihuahua shorthair,,True,0,Blue,,Tan,,730.0,Adoption,Spayed Female,True
1271,angora,,True,1,Black,,,,1460.0,Adoption,Neutered Male,True
1272,domestic shorthair,,True,1,Brown,Tabby,,,4.0,Transfer,Intact Female,False
1273,chihuahua shorthair,,True,0,Tan,,White,,365.0,Return_to_owner,Spayed Female,True
1274,australian shepherd,,True,0,Red,,,,1460.0,Return_to_owner,Neutered Male,True
1275,catahoula,,True,0,Brown,Merle,,,180.0,Transfer,Intact Male,True
1276,domestic shorthair,,True,1,White,,Brown,Tabby,21.0,Transfer,Unknown,False
1277,rottweiler,,False,0,Black,,Tan,,1095.0,Adoption,Neutered Male,True
1278,domestic shorthair,,True,1,Brown,Tabby,,,365.0,Transfer,Neutered Male,True
1279,black mouth cur,,True,0,Tan,,Black,,330.0,Transfer,Neutered Male,True
1280,domestic shorthair,,True,1,Black,,White,,2555.0,Adoption,Neutered Male,True
1281,domestic shorthair,,True,1,Black,,White,,730.0,Transfer,Intact Male,True
1282,domestic shorthair,,True,1,White,,Chocolate,Point,90.0,Transfer,Intact Female,False
1283,domestic shorthair,,True,1,Brown,Tabby,,,2555.0,Adoption,Spayed Female,True
1284,domestic shorthair,,True,1,Black,,White,,30.0,Euthanasia,Intact Male,False
1285,labrador retriever,pembroke welsh corgi,False,0,Tan,,White,,210.0,Transfer,Intact Female,False
1286,domestic shorthair,,True,1,White,,,,1.0,Transfer,Intact Male,False
1287,pit bull,,True,0,Brown,Brindle,,,365.0,Transfer,Intact Female,True
1288,labrador retriever,,True,0,Black,,,,730.0,Return_to_owner,Neutered Male,True
1289,pit bull,,True,0,Brown,,White,,730.0,Adoption,Neutered Male,True
1290,domestic shorthair,,True,1,Brown,Tabby,,,365.0,Transfer,Intact Male,False
1291,domestic shorthair,,True,1,Orange,Tabby,White,,60.0,Adoption,Neutered Male,True
1292,chihuahua shorthair,,True,0,Yellow,,,,365.0,Adoption,Neutered Male,True
1293,domestic medium hair,,True,1,Cream,,,,180.0,Adoption,Spayed Female,True
1294,domestic shorthair,,True,1,Black,,,,60.0,Adoption,Neutered Male,False
1295,miniature schnauzer,,True,0,Black,,Tan,,365.0,Transfer,Spayed Female,False
1296,chihuahua shorthair,,True,0,White,,Black,,730.0,Adoption,Spayed Female,True
1297,domestic medium hair,,True,1,Brown,Tabby,White,,365.0,Transfer,Neutered Male,False
1298,carolina dog,,True,0,Tan,,White,,1460.0,Transfer,Spayed Female,True
1299,siamese,,True,1,Blue,Point,,,60.0,Adoption,Neutered Male,True
1300,pit bull,,True,0,White,,Black,,1825.0,Euthanasia,Intact Female,False
1301,doberman pinsch,german shepherd,False,0,Black,,Tan,,5110.0,Return_to_owner,Spayed Female,True
1302,great pyrenees,,False,0,White,,,,730.0,Return_to_owner,Spayed Female,True
1303,domestic longhair,,True,1,Black,,,,210.0,Transfer,Neutered Male,True
1304,pit bull,,True,0,Brown,Brindle,White,,365.0,Euthanasia,Spayed Female,True
1305,mastiff,pit bull,False,0,Black,,White,,120.0,Transfer,Intact Male,False
1306,australian cattle dog,,True,0,Brown,,,,730.0,Return_to_owner,Spayed Female,True
1307,domestic shorthair,,True,1,Brown,Tabby,,,90.0,Transfer,Intact Female,False
1308,boston terrier,,True,0,White,,,,270.0,Adoption,Spayed Female,True
1309,domestic shorthair,,True,1,Orange,Tabby,,,90.0,Transfer,Intact Male,False
1310,angora,,True,1,Blue,,,,1095.0,Adoption,Spayed Female,True
1311,labrador retriever,boxer,False,0,Tan,,White,,30.0,Adoption,Neutered Male,True
1312,beagle,,True,0,Tricolor,,,,1095.0,Return_to_owner,Neutered Male,True
1313,siberian husky,,True,0,Silver,,Black,,365.0,Return_to_owner,Intact Female,False
1314,english bulldog,,True,0,Brown,Brindle,White,,2190.0,Return_to_owner,Intact Male,True
1315,domestic shorthair,,True,1,Brown,Tabby,,,60.0,Transfer,Intact Female,True
1316,boxer,,True,0,White,,Red,,4380.0,Transfer,Neutered Male,True
1317,domestic medium hair,,True,1,White,,Blue,,30.0,Transfer,Intact Male,True
1318,domestic shorthair,,True,1,Torbie,,,,2920.0,Transfer,Spayed Female,True
1319,domestic shorthair,,True,1,Brown,Tabby,White,,365.0,Transfer,Intact Male,False
1320,domestic medium hair,,True,1,Brown,Tabby,,,365.0,Adoption,Spayed Female,True
1321,domestic shorthair,,True,1,Black,,White,,28.0,Transfer,Intact Male,True
1322,domestic shorthair,,True,1,Brown,Tabby,White,,1460.0,Return_to_owner,Spayed Female,True
1323,labrador retriever,,True,0,Black,,White,,30.0,Adoption,Spayed Female,True
1324,domestic longhair,,True,1,Blue,Tabby,,,21.0,Transfer,Intact Female,False
1325,yorkshire terrier,maltese,False,0,White,,,,60.0,Transfer,Intact Male,False
1326,domestic shorthair,,True,1,Orange,Tabby,,,3.0,Transfer,Intact Male,False
1327,domestic shorthair,,True,1,Brown,Tabby,,,180.0,Euthanasia,Intact Male,False
1328,pit bull,,True,0,White,,Tan,,730.0,Euthanasia,Intact Female,True
1329,pit bull,,True,0,White,,Brown,,730.0,Return_to_owner,Intact Female,True
1330,cardigan welsh corgi,,True,0,Brown,Brindle,White,,2190.0,Adoption,Spayed Female,True
1331,blue lacy,american bulldog,False,0,Black,,White,,28.0,Transfer,Intact Male,False
1332,labrador retriever,,True,0,Red,,Tan,,5110.0,Return_to_owner,Spayed Female,True
1333,boxer,,True,0,Brown,,White,,150.0,Transfer,Neutered Male,False
1334,domestic medium hair,,True,1,Black,,,,90.0,Adoption,Neutered Male,True
1335,plott hound,,True,0,Black,,Brown,Brindle,30.0,Transfer,Intact Female,False
1336,australian shepherd,,False,0,Black,,Tan,,180.0,Transfer,Spayed Female,True
1337,domestic shorthair,,True,1,Blue,Tabby,,,1095.0,Adoption,Spayed Female,True
1338,pit bull,,True,0,Brown,,White,,365.0,Adoption,Neutered Male,True
1339,domestic shorthair,,True,1,Brown,Tabby,,,365.0,Transfer,Intact Male,False
1340,st. bernard rough coat,,True,0,Tricolor,,,,1095.0,Transfer,Spayed Female,True
1341,domestic shorthair,,True,1,Orange,Tabby,White,,30.0,Transfer,Intact Male,False
1342,australian shepherd,,True,0,Tricolor,,,,60.0,Transfer,Spayed Female,False
1343,domestic shorthair,,True,1,Black,,White,,2190.0,Adoption,Neutered Male,True
1344,staffordshire,boston terrier,False,0,Brown,,White,,1825.0,Adoption,Neutered Male,True
1345,domestic shorthair,,True,1,Tortie,,,,3285.0,Adoption,Spayed Female,True
1346,maltese,miniature poodle,False,0,White,,,,730.0,Return_to_owner,Intact Male,True
1347,siberian husky,labrador retriever,False,0,White,,Tan,,3650.0,Return_to_owner,Spayed Female,True
1348,chihuahua shorthair,pomeranian,False,0,Brown,Brindle,,,30.0,Adoption,Intact Female,True
1349,domestic shorthair,,True,1,Blue,,White,,60.0,Adoption,Intact Male,True
1350,dachshund,beagle,False,0,White,,Tricolor,,1095.0,Adoption,Spayed Female,True
1351,chihuahua shorthair,,True,0,Brown,,Black,,180.0,Transfer,Neutered Male,True
1352,domestic shorthair,,True,1,Brown,Tabby,,,120.0,Adoption,Spayed Female,True
1353,domestic shorthair,,True,1,Orange,Tabby,,,120.0,Adoption,Neutered Male,True
1354,miniature poodle,english cocker spaniel,False,0,Cream,,,,365.0,Adoption,Spayed Female,False
1355,doberman pinsch,,True,0,Brown,,Tan,,4745.0,Euthanasia,Spayed Female,True
1356,catahoula,,True,0,Chocolate,,White,,730.0,Adoption,Spayed Female,True
1357,labrador retriever,,True,0,Black,,,,60.0,Adoption,Neutered Male,True
1358,great pyrenees,australian cattle dog,False,0,Cream,,Red,Tick,90.0,Adoption,Spayed Female,True
1359,labrador retriever,australian cattle dog,False,0,Cream,,White,,240.0,Adoption,Spayed Female,True
1360,pit bull,,False,0,Blue,,White,,730.0,Euthanasia,Spayed Female,True
1361,labrador retriever,,True,0,Yellow,,White,,180.0,Adoption,Neutered Male,True
1362,german shorthair pointer,,True,0,White,,Liver,,2920.0,Return_to_owner,Spayed Female,True
1363,beagle,,False,0,Tricolor,,,,240.0,Adoption,Neutered Male,True
1364,collie rough,,True,0,White,,,,365.0,Transfer,Neutered Male,False
1365,domestic shorthair,,True,1,Brown,Tabby,,,2.0,Transfer,Intact Female,False
1366,anatol shepherd,,True,0,Tricolor,,,,1.0,Transfer,Unknown,False
1367,german shepherd,,True,0,Black,,Tan,,365.0,Return_to_owner,Spayed Female,True
1368,pit bull,australian cattle dog,False,0,White,,Tan,,730.0,Adoption,Neutered Male,True
1369,domestic shorthair,,True,1,Black,,White,,120.0,Adoption,Spayed Female,True
1370,labrador retriever,,True,0,Tan,,White,,730.0,Adoption,Spayed Female,True
1371,domestic shorthair,,True,1,Black,,White,,120.0,Transfer,Intact Female,False
1372,maltese,miniature poodle,False,0,White,,Tan,,730.0,Adoption,Neutered Male,True
1373,domestic shorthair,,True,1,Blue,Tabby,White,,60.0,Adoption,Neutered Male,False
1374,german shepherd,,True,0,Black,,Brown,,1095.0,Return_to_owner,Spayed Female,True
1375,domestic shorthair,,True,1,Brown,Tabby,,,90.0,Adoption,Spayed Female,True
1376,bull terrier,,True,0,Brown,Brindle,White,,365.0,Return_to_owner,Intact Female,True
1377,siberian husky,german shepherd,False,0,Buff,,,,3650.0,Transfer,Intact Male,True
1378,domestic shorthair,,False,1,Blue,Tabby,,,28.0,Died,Intact Male,True
1379,pug,,True,0,Tan,,Black,,2190.0,Transfer,Neutered Male,False
1380,siamese,,True,1,Seal,Point,,,1095.0,Adoption,Neutered Male,True
1381,lhasa apso,,True,0,White,,,,730.0,Transfer,Neutered Male,True
1382,domestic shorthair,,True,1,Blue,,,,730.0,Transfer,Intact Female,True
1383,yorkshire terrier,miniature poodle,False,0,Black,,Brown,,1460.0,Adoption,Neutered Male,True
1384,border collie,,True,0,White,,Brown,,4015.0,Return_to_owner,Neutered Male,True
1385,labrador retriever,chow chow,False,0,Black,,,,1095.0,Return_to_owner,Neutered Male,True
1386,bruss griffon,,True,0,White,,Tan,,120.0,Adoption,Spayed Female,True
1387,blue lacy,,True,0,Buff,,White,,180.0,Adoption,Neutered Male,True
1388,domestic shorthair,,True,1,Black,,,,730.0,Transfer,Unknown,False
1389,pit bull,,True,0,White,,Brown,Brindle,1460.0,Transfer,Spayed Female,True
1390,siberian husky,,True,0,Black,,White,,730.0,Return_to_owner,Intact Female,True
1391,pit bull,,True,0,Brown,Brindle,White,,365.0,Adoption,Neutered Male,True
1392,american staffordshire terrier,,True,0,Blue,,White,,365.0,Return_to_owner,Neutered Male,True
1393,border collie,,True,0,Black,,White,,730.0,Adoption,Spayed Female,False
1394,domestic shorthair,,True,1,Orange,Tabby,,,2190.0,Adoption,Neutered Male,True
1395,golden retriever,,True,0,Gold,,,,4015.0,Return_to_owner,Intact Male,True
1396,domestic shorthair,,True,1,Black,,White,,2920.0,Euthanasia,Intact Male,False
1397,labrador retriever,,True,0,Black,,,,3285.0,Adoption,Spayed Female,True
1398,rhod ridgeback,,True,0,Brown,,,,270.0,Transfer,Spayed Female,True
